,name,birth_death,pha,pha_label,observation
,"Aardweg, Gerard J. M. Vanden",1936-,11,A11,
,"Ábalos, Rafael",1956-,111,A111,
,"Abati, Frei Atílio ",1937-,111,A111,
,"Abaurre, Maria Bernadete Marques",,111,A111,
,"Abbott, Megan",1971-,115,A115,
,"Abbott, Simon",1967-,115,A115,
,"Abbott, Tony",1952-,115,A115,
,"Abbout, Edwin A. [Edwin Abbott]",1838-1926,115,A115,
,"Abdala Junior, Benjamin",1943-,116,A116,
,"Abdalla, Maurício [Maurício Guerriere Abdalla]",,116,A116,
,Abdbruschin [Oskar Ernst Bernhardt],1875-1941,116,A116,
,"Abelardo, Pedro",1079-1142,121,A121,
,"Aberastury, Arminda",1910-1972,125,A125,
,"Abercrombie, Joe",1974-,126,A126,
,"Abib, Padre Jonas ",1936-,13,A13,
,"Abicair, Myrian Campos",,13,A13,
,"Abnett, Dan",,135,A135,
,"About, Edmond",,137,A137,
,"Abraham, Ben",,139,A139,
,"Abraham, Ergom",1951-,139,A139,
,"Abraham, Robert",,139,A139,
,"Abrahão, Claudia Pucci",,139,A139,
,"Abramo, Cláudio Weber",1935-1979,14,A14,
,"Abramo, Lelia",1911-2004,14,A14,
,"Abramovay, Miriam",,14,A14,
,"Abramovay, Ricardo",,14,A14,
,"Abramovich, Fanny",1940-2017,14,A14,
,"Abramowicz, Anete",1958-,14,A14,
,"Abramson, Edward",,14,A14,
,"Abranches, Dunshee de",1867-1941,141,A141,
,"Abranches, Mônica",1971-,141,A141,
,"Abranches, Sérgio",1949-,141,A141,
,"Abrão, Bernadette Siqueira",,142,A142,
,"Abreu Junior, Paulo",,145,A145,
,"Abreu, Antônio Suárez",,145,A145,
,"Abreu, Caio Fernando",1948-1996,145,A145,
,"Abreu, Capistrano de",,145,A145,
,"Abreu, Casimiro de",1839-1860,145,A145,
,"Abreu, Dener Pamplona de",,145,D457,"considerado ""Dener"""
,"Abreu, Gida",1904-1979,145,A1451,DECIMAL ADICIONADO
,"Abreu, Honório Onofre",,145,A145,
,"Abreu, Hugo",1916-1979,145,A145,
,"Abreu, João Gomes de ",,145,A145,
,"Abreu, M. Celia de ",,146,A145,
,"Abreu, Marina Maciel",,146,A145,
,"Abreu, Paula",,146,A145,
,"Abreu, S. Fróes",,146,A145,
,"Abreu, Wagner Mariño",,146,A145,
,"Ab'Sáber, Aziz",,149,A149,
,"Abt, Clark C.",,149,A149,
,"Abuchaim, Maria Antônia",,151,A151,
,"Acedo, Rosane",,157,A157,
,"Acharán, Manuel Lezaeta",,16,A16,
,"Achcar, Dalal",,16,A16,
,"Achcar, Francisco",,16,A16,
,"Achcar, Inês ",,16,A16,
,"Aciman, André",,164,A164,
,"Acioli, Socorro",,164,A164,
,"Acioly, Breno",,164,A164,
,"Ackerman, Diane",,166,A166,
,"Acocce, Pierre",,167,A167,
,"Acquarone, Francisco",,168,A168,
,"Acquaviva, Marcus Cláudio",,168,A168,
,"Acremant, Germaine",,171,A171,
,"Acselrad, Carlos",,171,A171,
,"Adam, Richard",,173,A173,
,"Adamo, Marina",,175,A175,
,"Adams, Caren",,176,A176,
,"Adams, Douglas",,176,A176,
,"Adams, George",,176,A176,
,"Adams, Jay E.",,176,A176,
,"Adams, Patch",,176,A176,
,"Adams, Richard",,176,A176,
,"Adams, Scott",,176,A176,
,"Adams, Taylor",,,A176,
,"Adas, Melhem",,177,A177,
,"Addario, Lynsey",,179,A179,
,"Addis, Fer",,18,A18,
,"Addison, Corban",,181,A181,
,"Adghirni, Samy",,182,A182,
,"Adler, Elizabeth",,185,A185,
,"Adler, Mortimer J.",,185,A185,
,"Adler, Polly",,185,A1851,DECIMAL ADICIONADO
,"Adler-Olsen, Jussi",1950-,185,A185,
,"Adolfs, Robert",,186,A186,
,"Adolfsson, Maria",,,A186,
,Adonias Filho,1915-1990,186,A186,
,"Adonias, Isa",,186,A186,
,"Adormetto, Alexandra",,186,A186,
,"Adorno, Theodor W.",,186,A186,
,"Adoum, Jorge [Mago Jefa]",1897-1958,186,A186,
,"Adrian, Christiane",,186,A186,
,"Adrian, Jack",,186,A186,
,"Adrian, Lara",,186,A186,
,"Adriano, Reni",,186,A186,
,"Adrini, Álvaro",,186,A186,
,"Aeberhard, Danny",,191,A191,
,"Aebli, Hans",,191,A191,
,AEPTI ,,192,A192,
,"Affonso, Almino",,196,A196,
,"Affonso, Plácido",,196,A196,
,"Afonso, Celso de Almeida",,199,A199,
,"Afonso, Eduardo",,199,A199,
,"Afonso, Eduardo José",,199,A199,
,"Afshar, Tessa",,199,A199,
,"Agassi, André",,21,A21,
,"Agassiz, Louis",,21,A21,
,"Agatston, Arthur",,21,A21,
,"Agee, Jonis",,21,A21,
,"Agee, Philip",,21,A21,
,"Ager, Robert",,21,A21,
,"Agnelli, Giovanni",,216,A216,
,"Agnon, Sch. I. [Smuel Yosef Agnon]",1887-1970,218,A218,
,"Agostinho, Cristina",,221,A221,
,"Agostinho, Pedro",,221,A221,
,"Agostinho, Santo [Santo Agostinho, Bispo de Hipona]",354-430,221,A221,
,"Agostini, João Carlos",,221,A221,
,"Agostini, Nilo",,221,A221,
,"Agostini, Sara",,221,A221,
,"Agualusa, José Eduardo",,224,A224,
,"Aguayo, A. M.",,224,A224,
,"Aguéiev, M.",,225,A225,
,"Aguiar, André Ricardo",,227,A227,
,"Aguiar, Arthur",,227,A227,
,"Aguiar, Audrey de Souza",,227,A227,
,"Aguiar, Carmem Faini Tiepolo de",,228,A228,
,"Aguiar, Flávio",,229,A229,
,"Aguiar, G.",,229,A229,
,"Aguiar, Glorinha",,229,A229,
,"Aguiar, João Serapião",,229,A229,
,"Aguiar, Luiz Antonio",1955-,23,A23,
,"Aguiar, Pinto de",,231,A231,
,"Aguiar, Roberto A. R. de",,232,A232,
,"Aguiar, Sonia de",,232,A232,
,"Aguiar, Vera",,233,A233,
,"Aguilar, Luís",,235,A235,
,"Aguilar, Luisa",,235,A235,
,"Aguilar, Nelson",,235,A235,
,"Agus, David B.",,238,A238,
,"Agus, Milena",,238,A238,
,"Aguzzoli, Fernando",,239,A239,
,"Ahern, Cecelia",,239,A239,
,"Ahern, Jerry",,239,A239,
,"Ahrens, Henri",,244,A244,
,"Aiken, Conrad",,252,A252,
,"Aires, Margarida de Mello",,255,A255,
,"Aires, Mathias",,255,A255,
,"Aiub, José Eduardo",,258,A258,
,"Ajayi, J. F. A.",,261,A261,
,"Ajzenberg, Bernardo",,263,A263,
,"Akhtar, Maha",,267,A267,
,"Akunin, Boris",,267,A267,
,"Al Sau, Fahd bin Abdul Aziz",,462,A462,
,"Alaiz, Atilano",,273,A273,
,"Alambert, Francisco",,274,A274,
,"Alamy Filho, João",,275,A275,
,"Alarcão, Isabel",,278,A278,
,"Alarcón, Pedro de",,278,A278,
,"Albala-Bertrand, Luis",,284,A284,
,"Albalat, Antoine",,284,A284,
,"Albee, Edward",,288,A288,
,"Albérès, R. M.",,288,A288,
,"Albergaria, Lino de",,288,A288,
,"Alberigo, Giuseppe ",,288,A288,
,"Alberoni, Francesco",,288,A288,
,"Albertalli, Becky",,289,A289,
,"Alberto, José",,29,A29,
,"Alberton, Padre Valério",,291,A291,
,"Alberts, Carlos C.",,292,A292,
,Albigenor,,294,A294,
,"Albisetti, Valerio",,295,A295,
,"Albissú, Nelson",,295,A295,
,"Albom, Mitch",,295,A295,
,"Albuquerque Júnior, Durval Muniz de",,31,A31,
,"Albuquerque, A. Tenório de",,298,A298,
,"Albuquerque, Eliana Garcia Farias de",,299,A299,
,"Albuquerque, Flávia",,31,A31,
,"Albuquerque, Jamil",,31,A31,
,"Albuquerque, José Augusto Guilhon ",,31,A31,
,"Albuquerque, Lina de",,311,A311,
